"Estimations de la population selon l'âge et le genre, Québec, 1?? juillet 1971 à 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population selon le groupe d'âge et le genre (n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Âge et genre,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022?,2023?,2024?
,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Total (Genre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,6137305,6174216,6213149,6268571,6330303,6396761,6433133,6440459,6465996,6505997,6547207,6580631,6602976,6631220,6665802,6708170,6781984,6837077,6925128,6996986,7067396,7110010,7156537,7192403,7219219,7246897,7274611,7295935,7323250,7356951,7396014,7441305,7485488,7535483,7581467,7631901,7692400,7761614,7843915,7929479,8004736,8059752,8108825,8147535,8175743,8225036,8292832,8386951,8483186,8551095,8572020,8673184,8848020,9056044
,0-4 ans,485861,463459,450829,445560,445609,454161,457670,462517,469309,474150,477721,476015,469966,461832,448998,436854,431860,429709,433442,443521,456891,469694,478693,479435,470838,459161,443579,426809,410307,395809,381912,374022,370639,372256,372786,377053,385855,399444,414652,427950,436637,442459,445155,444513,442760,442624,441592,441178,438219,434505,425549,424942,423074,420133
,5-9 ans,637478,609937,572733,539144,510966,493684,476030,460861,450851,447104,446189,451701,458664,466488,472341,476594,477722,474566,470638,461660,453960,447045,443937,443989,450277,461079,470570,478582,479327,471933,460716,449285,435368,421385,409067,397234,388089,383089,383027,383174,389812,399859,413281,426276,438421,447045,455156,463565,467924,470130,468179,467892,469982,473179
,10-14 ans,676275,674511,671631,663898,652231,628081,604454,569015,534340,503743,483710,467768,455826,447461,444859,444739,453684,463428,474128,481926,489312,490215,487296,481865,470885,460556,451230,446434,445358,452206,462984,476021,486956,490850,486390,476386,463612,448604,433364,419595,406563,399658,396348,396573,396374,402734,413132,429317,446343,462494,470612,479159,489253,496962
,15-19 ans,635037,649998,662431,670974,674645,680433,674911,668976,661643,652795,631056,602544,567093,532804,503369,485642,471360,462438,459556,461216,464884,471266,479674,488740,495078,498968,498179,494369,488196,477441,467505,461601,457606,457811,465335,477918,494457,506962,511453,506634,495405,479599,464303,449406,438576,429985,423143,420956,425037,427907,429721,443354,461562,482242
,20-24 ans,573174,576735,587296,604809,626470,639401,648604,653694,659392,665636,673507,666970,660962,654458,646375,626272,603179,568880,542280,516797,501732,486279,475894,469617,468955,470457,477168,484877,495715,506647,515609,516238,513965,511848,505533,498460,490487,486846,491351,504254,519970,529717,535908,534544,525984,517981,512103,506386,504104,499297,481776,484411,497264,518670
,25-29 ans,494415,516756,533406,550863,566545,579962,584209,586589,592398,602242,606891,622036,634593,642586,647532,655490,659091,658208,659661,650935,627030,602141,572113,542402,515304,498650,484835,473986,468840,468908,473428,484218,495954,508628,518734,528085,532323,532833,534240,532164,526032,518210,513369,509608,510593,519095,537067,555096,567233,567585,557103,554253,569576,587916
,30-34 ans,389580,406702,426758,448360,470693,492727,515394,526711,539311,550426,558947,562078,566825,575859,590372,602419,622988,638002,652529,658647,666589,662588,660233,653834,644430,623869,600796,568993,540579,516025,502992,493616,488005,485916,486643,489659,501563,516562,532978,549120,562906,566262,563930,558346,545774,534519,529532,532821,538666,548735,559767,579370,612670,644759
,35-39 ans,367837,362092,359484,364418,371995,383504,399410,418089,435201,453087,470744,493392,509402,524357,535821,545824,554680,565322,580517,596693,607808,622840,638876,648211,653133,659359,656841,653671,648863,641620,623294,604261,578266,553871,531453,518179,508374,504089,504145,510315,518327,530010,542475,553591,561061,567618,572450,578074,580890,576465,566629,565297,578428,601287
,40-44 ans,364186,366883,367149,366081,362728,360401,355126,350106,354600,361719,373615,387055,404859,422240,442250,463638,487633,505474,524724,539420,553175,558175,565728,576256,590017,600056,615120,629102,638196,644605,653328,653206,653675,652830,649838,633798,612183,585297,561085,541077,531692,523580,517975,515048,516352,520633,531715,548085,564514,577871,587972,596337,608234,622478
,45-49 ans,342953,344480,348401,349946,352587,354630,357088,356423,353147,348101,344632,339882,337476,341842,347708,358552,376086,397856,418418,440460,461559,483347,501033,517774,530228,540170,546134,553654,564868,579355,590207,606886,622619,632723,639046,647042,649633,651733,650811,645983,628172,611119,587926,564256,543413,532182,522089,517401,517501,521223,526096,541098,561921,586056
,50-54 ans,286573,297685,306919,317613,325665,331095,332621,334766,335735,338344,340819,343844,343383,340582,336402,333792,330442,329833,337115,345491,358787,374050,392731,409937,429011,447440,470117,487895,504845,518492,530431,536232,544478,556718,572857,585154,601696,617464,629270,638389,649169,650707,650768,648700,644350,628815,608634,583650,559686,538318,526894,520698,520361,526311
,55-59 ans,255439,257786,260058,260629,264652,272830,283312,291871,301122,308252,312970,314832,318971,320996,324592,327684,332156,333484,333021,331168,329613,324279,323391,328856,335262,346365,361831,379917,397714,417306,436366,458978,476710,492711,505051,516288,524127,534419,547073,563294,575789,593501,611287,623763,632551,642119,642919,643056,640777,635103,617260,598835,576725,557391
